Canton,Taux de chômage,Taux de chômage des jeunes,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de demandeurs d'emplois,Code
Zurich,3.3,3.7,27225,34156,6931,4.140121212121212,ZH
Berne,2.4,2.8,13658,18385,4727,3.23063406062381,BE
Lucerne,1.7,2.1,3885,6756,2871,2.956293436293436,LU
Uri,0.6,0.5,112,257,145,1.3767857142857143,UR
Schwyz,1.7,1.6,1455,2229,774,2.6043298969072164,SZ
Obwald,0.7,0.7,153,319,166,1.4594771241830065,OW
Nidwald,1.0,0.9,248,436,188,1.7580645161290323,NW
Glaris,1.8,1.8,416,713,297,3.085096153846154,GL
Zoug,2.3,1.8,1543,2615,1072,3.897926117952041,ZG
Fribourg,2.7,3.2,4466,7837,3371,4.7379982086878645,FR
Soleure,2.6,2.9,3801,6628,2827,4.533754275190739,SO
Bâle-Ville,3.5,4.4,3455,5168,1713,5.235311143270622,BS
Bâle-Campagne,2.8,3.2,4082,5540,1458,3.8000979911807935,BL
Schaffhouse,3.0,3.8,1286,2328,1042,5.430793157076205,SH
Appenzell Rhodes-Extérieures,1.7,1.5,523,866,343,2.8149139579349907,AR
Appenzell Rhodes-Intérieures,0.7,1.0,62,102,40,1.1516129032258062,AI
St-Gall,2.2,2.4,6127,10363,4236,3.72100538599641,SG
Grisons,1.1,1.4,1166,2590,1424,2.4433962264150946,GR
Argovie,2.9,3.3,10684,15145,4461,4.110866716585549,AG
Thurgovie,2.0,2.3,3058,5618,2560,3.6742969260954874,TG
Tessin,3.1,5.2,5202,8675,3473,5.1696462898885045,TI
Vaud,4.3,4.3,17155,24649,7494,6.178414456426697,VD
Valais,2.8,3.3,4816,8027,3211,4.666860465116279,VS
Neuchâtel,5.1,6.1,4738,6350,1612,6.835162515829463,NE
Genève,5.2,4.6,12234,15497,3263,6.586921693640674,GE
Jura,4.4,5.1,1619,2375,756,6.454601605929586,JU
